Course,Term_Offerings,Campus,undergraduate_offered,postgraduate_offered,course_description,pre_requisites,course_uoc
OPTM3211,Summer Term 2019,"Main Campus, Kensington",1,0,"Objectives: To build on OPTM3111 and to advance students knowledge and stimulate interest in primary care optometry, dispensing and paediatrics. To produce a student with good professional attitude, good communication skills and a desire to continue learning, who has the ability to integrate scientific and clinical aspects of optometry and make well-reasoned decisions while undertaking general patient care under supervision of a registered optometrist at the UNSW Optometry Clinic. One focus of this course is to advance student knowledge and technical skills in the integration of four key domains of primary care, namely refraction, binocular vision, oculo-visual assessment and dispensing, particularly regarding use of a problem-based approach to optometric consultations in a clinic environment. The other focus is the field of paediatrics. Both strands will involve lectures, tutorials, practical classes and self-directed learning. Brief Curriculum: Primary care: clinical; laboratories that practice clinical skills in the assessment of normal subjects; case analysis; working in consulting rooms; lens products, tints and coatings, meeting vocational and avoactional patient needs in dispensing, frame selection and limitations, glazing, delivery and adjustment of spectacles; optical considerations of the subsidiary effects of spectacle lenses. Children's vision; history taking, the development of the child and vision; Vision therapy: vision and posture, behavioural optometry, learning difficulties, special needs, child abuse.","Pre-requisites: VISN3111, OPTM3111, OPTM3131 Co-requisites: OPTM3231, VISN3211, PHAR3306",6 Units of Credit
OPTM3233,Term 3 2019,"Main Campus, Kensington",1,0,"Objectives: To advance student knowledge and stimulate interest in contact lenses, paediatrics, dispensing and environmental vision. To produce a student with good professional attitude, good communication skills and a desire to continue learning, who has the ability to integrate theory and practical knowledge. One focus of this course is to advance student knowledge and technical skills in contact lenses. Another major focus is the field of paediatrics, and a third is environmental vision. All topics will include lectures, self-directed learning, and tutorials and/or practical classes. Students will also be scheduled to work as supervised dispensers in the School of Optometry and Vision Science Optometry Clinic.
Brief curriculum: Contact lenses: Contact lens definitions and terminology, contact lens materials, rigid lens parameter measurement, contact lens care and maintenance, insertion and removal of contact lenses. Children's vision: creating a child-friendly environment, history taking, the development of the child and vision, communicating with children and those with special needs, child protection legislation, and vision screenings. Environmental vision: Industry and vision standards, legislation and risk management, ergonomics, lighting, eye protection and risk management, and fatigue.",Prerequisite: OPTM3133,6 Units of Credit
OPTM6411,Term 1 2019,"Main Campus, Kensington",0,1,"Building on knowledge gained in the Bachelor of Vision Science, and the introductory postgraduate clinical course OPTM6400 (Optometric Preclinical Practice), this course will extend primary care consulting room technical skills into the optometric specialty of contact lenses.  This course will advance student knowledge and stimulate interest in contact lenses through the development of a theoretical and practical generic understanding of the design of rigid and soft spherical and toric lenses, contact lens fitting principles, and the clinical assessment and optimisation of contact lens fittings.  There will be a strong emphasis on the acquisition of specific contact lens-related clinical skills, together with problem solving and clinical decision making in the fitting of both rigid and soft contact lenses.  Specific complications of contact lens wear will be discussed, along with strategies to manage and avoid adverse effects.  The course will be delivered using lectures, practical classes, assignments and self-directed learning.","Prerequisite: OPTM6400 or OPTM3211 and OPTM3231 and VISN3211
Exclusion: OPTM4110 and OPTM4211",6 Units of Credit
OPTM6412,Term 2 2019,"Main Campus, Kensington",0,1,Objectives: To develop the clinical skills needed to competently examine patients in optometric practice including the ability to recommend appropriate treatment and management strategies for patients. Brief Curriculum: This course includes conducting primary eye care examinations and vision screenings under the direct supervision of qualified optometrists. Students will develop their clinical skills by conducting eye examinations on patients on a weekly basis both in the UNSW Optometry Clinic and through external placements.,Prerequisite: OPTM6400 or (OPTM3211 and OPTM3231 and PHAR3306 and VISN3211) Co Requisite: OPTM6411 and OPTM6413,6 Units of Credit
OPTM6413,Term 1 2019,"Main Campus, Kensington",0,1,"The scope of the course includes diseases of the lids and lacrimal system, ocular surface, and cornea; uvea; refractive surgery; epidemiology and clinical trials of anterior eye disease; differential diagnosis; new diagnostic tools; management strategies to include both current and future therapeutic approaches, influence of therapy on disease course, iatrogenic disease and anterior eye manifestations of systemic diseases; management of chronic disease, referral criteria and surgical management; management of myopia and amblyopia; prescription writing, record keeping, liaising with other health care professionals; legal framework and obligations, ethics, co-management.",Prerequisite: OPTM6400,6 Units of Credit
OPTM6421,Term 2 2019,"Main Campus, Kensington",0,1,"Note that this description has been modified from previous handbook entries because 2019 is a ‘transition’ year into the new program. The Paediatrics component is replaced by the Contact lens component in 2019.
Description:  OPTM6421 will further develop the integration of student knowledge of the basic sciences with clinical competency in the areas of binocular vision, low vision and contact lenses.  Students will be introduced to the care and assessment of patients with strabismus, amblyopia, nystagmus, and/or low vision or severe visual impairment. Students will need to apply knowledge from earlier courses such as ocular disease, physiology and optics in order to prescribe visual aids which best alleviate the detrimental effects of visual deficits. The contact lens component will consist primarily of contact lens fitting practical classes. The course will be delivered using lectures, tutorials, practical classes and self-directed learning.
Brief Curriculum:  Binocular vision: amblyopia, comitant and noncomitant strabismus. Low vision – aids, current low vision aids, adaptive technology, the multidisciplinary mode of practice. Contact lenses: Contact lens fitting.",Prerequisite: OPTM6400 or OPTM6411 Exclusion:OPTM4211,6 Units of Credit
OPTM6422,Term 3 2019,"Main Campus, Kensington",0,1,Objectives: To develop the clinical skills needed to competently examine patients in optometric practice including the ability to recommend appropriate treatment and management strategies for patients. Brief Curriculum: This course includes conducting primary eye care examinations and vision screenings under the direct supervision of qualified optometrists. Students will develop their clinical skills by conducting eye examinations on patients on a weekly basis both in the UNSW Optometry Clinic and through external placements.,Prerequisite: OPTM6412 and OPTM6411 and OPTM6413,6 Units of Credit
OPTM6423,Term 3 2019,"Main Campus, Kensington",0,1,"The scope of the course includes diseases of the vitreous body, posterior uvea, retina, optic nerve and visual pathway; macular degeneration and diabetic retinopathy; glaucoma; epidemiology and clinical trials of glaucoma and posterior eye disease; differential diagnosis; glaucoma imaging; glaucoma progression analysis; new diagnostic tools (e.g. scanning laser topography, scanning laser polarimetry, angiography, optical coherence tomography, reflectometry, retinal blood flow analysis); management strategies to include both current and future therapeutic approaches, influence of therapy on disease course, iatrogenic disease and ocular manifestations of systemic diseases; management of headaches and sudden vision loss; management of chronic disease, referral criteria and surgical management; prescription writing, record keeping, liaising with other health care professionals; legal framework and obligations, ethics, co-management.",Prerequisite: OPTM6413,6 Units of Credit
OPTM6424,Term 3 2019,"Main Campus, Kensington",0,1,"Objectives: A major focus in optometric education is to produce eye care professionals who offer complete patient care. This course is designed to prepare future optometrists to manage a private practice successfully as well as showcase other opportunities within the profession including those in industry, academia, research, government and public health.
Brief Curriculum:
The course will focus on the needs of small business operators by providing a solid foundation in the key business disciplines. This will reflect issues that can arise in the strategic management and development of an optometric practice. Topics will include human resources management, ethics, business planning and development, accounting/finance administration, microeconomics, personal finance, marketing, operations management, entrepreneurial skills, leadership, personal development and business law. The teaching approach will provide a stimulating and interactive environment for students to develop their business, leadership and teamwork skills in order to become a successful optometrist within the profession.",Prerequisite:  OPTM6412 and OPTM6411 and OPTM6400 and enrolment in program 3182 or 8095. Exclusion: OPTM4271,6 Units of Credit
OPTM7001,Term 3 2019,"Main Campus, Kensington",0,1,"This course aims to provide an understanding of the major global initiatives regarding prevention and control of blindness, and an ability to translate these to a local level.
The course includes discussion of the following: (1) the concept of ‘community’ (2) definitions of blindness and visual impairment (3) global initiatives of VISION 2020: The Right to Sight (4) Universal eye health: a global action plan 2014-2019(5)impacts of blindness and visual impairment at global and local levels (6) issues in the prevention and control of major blinding eye diseases (7) Understanding the social determinants of blindness and (8) Health systems and eye health (9) An Overview of indigenous eye and healthcare in Australia",No Prerequisites,6 Units of Credit
OPTM7003,Term 1 2019,"Main Campus, Kensington",0,1,This course aims to develop an ability to apply the principles of community eye health in the prevention and treatment of common blinding eye disease in adults and children. The course includes the following topics: (1) the role of screening programs in the prevention and control of blindness and visual impairment (2) controlling common eye infections (3) causes and risk factors associated with common blinding diseases in adults and children (4) Rapid assessment methods used in eye care.,No Prerequisites,6 Units of Credit
OPTM7006,Term 2 2019,"Main Campus, Kensington",0,1,"This course aims to develop students' ability to apply their knowledge on the issues related to community eye health, and to incorporate this knowledge with management principles and functions. The course combines theory and practice, and includes the following topics: (1) program planning and management (2) eye care service delivery models (3) social marketing (4) management systems and tools (5) human resources development (6) eye care program monitoring and evaluation.",No Prerequisites,6 Units of Credit
OPTM7104,Term 2 2019,"Main Campus, Kensington",0,1,"This course provides lectures, seminars and practical workshops on topics underlying an advanced knowledge of contact lens practice and research.  Topics covered in the course may include: research concepts and opportunities in private clinical practice; accessing the contact lens literature and other relevant databases; use of clinical grading scales; update on corneal physiology and biochemistry; tear film assessment; advanced clinical and research instrumentation; visual considerations with different contact lens designs and modalities; corneal topographic analysis; advanced rigid contact lens design and fitting; rigid and soft toric lens fitting; rigid lens parameter measurement and lens modification; contact lens material properties.  The course is conducted over 4 weekend sessions. The specific topics covered in the course will vary from year to year depending on the availability of expert lecturers.","Restricted to students enrolled in the following programs 8760, 8073, 5665 and 7435",6 Units of Credit
OPTM7115,Term 2 2019,"Main Campus, Kensington",0,1,"This course provides understanding of the issues of visual functioning which will also be related to clinical assessment issues. Topics covered include: processing of visual information in mammals, repair in the nervous system of vertebrates, objective assessment of visual pathway, review of brainstem and brainstem anatomy, review of amino acid chemistry related to brain neurochemistry, glutamate and neurotoxicity in glaucoma, visual attention and arousal systems, brainstem mechanisms in the control of eye movements, visually directed activities - reading, parietal factors in vision, frontal factors in vision, after effects and inter-ovular transfers.","Restricted to students enrolled in the following programs 8760, 8073, 5665 and 7435",6 Units of Credit
OPTM7117,Term 3 2019,"Main Campus, Kensington",0,1,"Note: This course is open to local (Australia and New Zealand) candidates only in OPTM7117.

This supervised clinical practicum course is designed to produce graduates with demonstrated ability to competently undertake safe and autonomous therapeutic management of patients, including the ability to design, implement and monitor appropriate management programmes. The course aims also to equip graduates with the skills to adapt to changes in the scope of therapeutic practice and to work in an integrated way with other health professionals. Thede course comprises up to 50 hours of clinical training in a range of settings (primary, secondary and tertiary centres) and a further 95+ hours of self study and preparation of case reports.",Prerequisite: OPTM7213 or OPTM7309,12 Units of Credit
OPTM7205,Term 1 2019,"Main Campus, Kensington",0,1,"This course provides didactic and practical teaching on selected advanced topics in speciality contact lense practise, delivered over two weekend modules, combined with one or more short clinical placements (4-6 days total) in practices of optometrisits around Australia who provide speciality contact lens services. Completion of OPTM7104 is pre-requisite for enrolment. Topics covered in the two weekend modules may include: Contact lenses for keratoconus, scleral contact lenses, fitting contact lenses after refractive surgery and keratoplasty, therapeutic contact lenses, contact lens - related microbial keratitis : Microbioloogy and epidemiology, the impact of silicone hydrogels, current hot topics in the contact lense field, current market issues. The specific topics covered will vary from year to year depending on the availability of expert lecturers, the course is conducted over two weekends (15hour modules), plus a 4-6 day clinical placement (s) arrangend at the convinience of the student and host practitiner(s). Clinical placements with school approved practitioners will be organised through the School of Optometry, based on student interest and requirement: students are responsible for travel and accomodation arrangements and costs.",Pre requisite: OPTM7104 restricted to 8760/5665/7435/5523,6 Units of Credit
OPTM7208,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,1,"This course offers the opportunity to develop a range of research skills including ability to search and critically read the literature, develop a research question, develop aims and hypotheses, develop awareness of ethical considerations in research, basic skills in data collection, data analysis, and interpretation of outcomes (where appropriate), and verbal and written communication skills.
Participants in the course must elect to focus on one of two skills sets, with an emphasis on literature review, study design, ethical considerations and communication as the first option, and on literature review, data collection and analysis, ethical considerations and communication as the second option. If focusing on the first option, the course may be suitable by distance, but the second option must take place on the UNSW campus. The final presentation will occur at the UNSW campus.",No Prerequisites,6 Units of Credit
OPTM7213,Term 1 2019,"Main Campus, Kensington",0,1,"This course provides an introduction to the basic and clinical sciences  related to the use of therapeutic substances in primary care optometry. The  focus is on the practical clinical needs of the student. In the basic sciences,  there is a review of biochemistry with emphasis on topical issues related to  common systemci drugs which affect cellular communication. This is reinforced  with a review of common cardiovascular, respiratory and immunological disease,  AIDS and hepatitis, and their implications for practice hygiene. The  epidemiology of systemic drug use in Australia is reviewed, along with the  ocular and visual side-effects associated with common systemic therapies.  Anterior eye microbiology is reviewed with a strong emphasis on  contact-lens-related infection and inflammation. A pharmacist explains drug law  in Australia, pharmaceutics with special reference to the eye, and relevant  professional relationships with pharmacy. Topics of direct relevance to ocular  therapeutics and their use in primary care optometry include - Diagnosis,  management and therapy of anterior ocular surface disease (infection and  inflammation of the conjunctiva, cornea, eyelids), inflammatory disease of the  anterior uvea, diseases of the lacrimal system, congenital and acquired retinal  disease, diabetic rettinopathy, age-related maculopathy and glaucoma. The topic  of co-management with an opthalmologist is covered in relation to glaucoma and  surgery for cataract and refractive errors. Other topics include ocular  emergencies, ocular trauma, and neuro-ophthalmic disorders.",Prerequisite: Enrolment in 7436 Grad Cert (Ocular Therapeutics),12 Units of Credit
OPTM7218,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,1,A directed research investigation into a topic in Optometry or Visual Science with a duration of one year. May be carried out either on campus or within the student's professional practice with primary supervision from the University.,No Prerequisites,6 Units of Credit
OPTM7301,Term 2 2019,"Main Campus, Kensington",0,1,"This course comprises clinical work on selected patients with special  emphasis on advanced techniques and new developments. Optometric examination  procedures include: gonioscopy, slit lamp fundoscopy, binocular indirect  ophthalmoscopy and scleral depression; ultrasonography; corneal topography;  ocular photography; computerised visual field analysis; visual functions; low  vision; optometric co-management; evaluation of binocular functions; geriatric  and paediatric optometry; the clinical application of electrophysiological  techniques. Assessments of new instruments, methods and treatments. The  course is offered as an overseas posting at the LV Prasad Eye Institute in  Hyderabad, India subject to the ability of the location to host the candidate in  the time requested. This posting is for a 4-week period, with travel and  accommodation costs to be met by the candidate.Note: Short course  format - overseas posting.Candidates must have successfully completed the  Ocular Therapy component to be eligible for the posting. Candidates who have not  completed this course can lodge an application at the School Office. Each  application will then be reviewed and assessed on merit.","Prerequisite OPTM7309,must be enrolled in Program 8760, or 5665 or 7435",12 Units of Credit
OPTM7302,Term 1 2019,"Main Campus, Kensington",0,1,"This course aims to develop the habit of questioning received wisdom, by approaching ideas, concepts and techniques in Optometry and elsewhere with a critical mind, searching for and critiquing any supporting evidence, and being aware of the ethical issues involved in evidenced-based Optometry. The course is run in a multi-mode format, partly by distance, and partly on-campus. Topics discussed in this course include: The nature of evidence, how we find it, how we evaluate it, and how we use it; Ethics of using evidence; The role of statistics in generating and presenting evidence; The use of evidence in Optometry.","Restricted to students enrolled in the following programs 8760, 8073, 7435, 5665 and 5523",6 Units of Credit
OPTM7308,Term 1 2019,"Main Campus, Kensington",0,1,A research investigation into a topic in Optometry or Visual Science with a duration of one year. May be carried out either on campus or within the student's professional practice with supervision from the University.,None,6 Units of Credit
OPTM7511,Term 1 2019,"Main Campus, Kensington",0,1,"Investigate the diagnosis and management of ocular disease.  Review ocular anatomy, physiology and imaging in the context of the disease process and management.  Covers the neural and visual pathways and pupillary responses as well as disorders of the optic nerve, macula, retina, choroid and anterior eye.",No Prerequisites,6 Units of Credit
OPTM7521,Term 2 2019,"Main Campus, Kensington",0,1,"This course will expand on the material covered ""Advanced Diagnosis and Management of Ocular Disease 1"" by bringing students to the forefront of the current and emerging use of advanced ocular imaging techniques for the diagnosis of ocular disease and to the forefront of emerging optometric and medical management options.",Prerequisite: OPTM7511,6 Units of Credit
OPTM7611,Term 1 2019,"Main Campus, Kensington",0,1,"The prevalence of myopia is increasing worldwide and recent evidence has shown that traditional myopia management is not best practice. Myopia is now recognised as a health condition and this course will provide fundamental theoretical knowledge to be able to effectively and appropriately implement evidence based myopia management into clinical practice.
This is the first core course for the Graduate Certificate in Myopia Management program. This course will provide fundamental theoretical knowledge to be able to effectively and appropriately implement evidence based myopia management into clinical practice. Other courses that are a part of the Graduate Certificate in Myopia Management program include OPTM7612. OPTM7621 and OPTM7104.",No Prerequisites,6 Units of Credit
OPTM7612,Term 2 2019,"Main Campus, Kensington",0,1,"Appropriate evidence-based myopia management is increasingly becoming a part of clinical practice. This course will provide the research background and evidence for various optical, pharmacological and behavioural myopia management options. The course will enhance optometrists’ skills, knowledge and management practice of progressive myopia, particularly in the paediatric population.
This is the second core course for the Graduate Certificate in Myopia Management program. Completion of OPTM 7611 is is pre-requisite for enrolment. Other courses that are a part of the Graduate Certificate in Myopia Managementprogram include OPTM7621 and OPTM7205.",No Prerequisites,6 Units of Credit
OPTM8511,Term 1 2019,"Main Campus, Kensington",0,1,"Objectives: Further development of the clinical skills needed to competently examine patients in optometric practice, and recommend appropriate treatment and strategies for patients presenting for eyecare.
Brief Curriculum: This course  comprises supervised clinical placements in the following advanced areas of Optometry practice:paediatrics, vision training, low vision and colour vision.
Students may be required to attend compulsory clinical placements during the mid-year recess.",Prerequisite: OPTM6422,6 Units of Credit
OPTM8512,Term 1 2019,"Main Campus, Kensington",0,1,"Objectives: Further development of the clinical skills needed to competently examine patients in optometric practice, and recommend appropriate treatment and strategies for patients presenting for primary eye care. Brief Curriculum: To enhance clinical experience in providing primary eye care. The emphasis in this course is the diagnosis and management of visual problems.

Students will be required to attend compulsory clinical placements outside the standard teaching period. Students will be required to attend external clinical placements which require additional costs to cover travel and accommodation.",Prerequisite: OPTM6421 and OPTM6422 and OPTM6423 and OPTM6424,6 Units of Credit
OPTM8513,Term 2 2019,"Main Campus, Kensington",0,1,"Objectives: Students will develop the ability to competently undertake safe and autonomous therapeutic management of patients, including the ability to design, implement and monitor appropriate management programmes. The course aims also to equip students with the skills to incorporate ocular therapeutics into their professional practice and to work in an integrated way with other health professionals.
Brief Curriculum: This supervised clinical course is designed to provide guided practical experience in the therapeutic management of ocular disease. The course comprises clinical training in a range of settings, including primary, secondary and tertiary centres.
Students may be required to attend compulsory external clinical placements which require additional costs to cover travel and accommodation.",Prerequisite:  OPTM6411 and OPTM6413 and OPTM6423 and OPTM6422 and OPTM6421,6 Units of Credit
OPTM8514,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,1,"Modern optometrists need to be able to understand clinical and vision science research. This course introduces students to research and the scientific method. The course covers the following: a literature review, critical analysis of the literature, developing a hypothesis, experimental design, ethical considerations, and the research process. Students will work in pairs, under the supervision and guidance of a member of academic staff, visiting staff, staff optometrists, postgraduate research students or external researchers, to develop a realistic research proposal.",No Prerequisites,4 Units of Credit
OPTM8521,Term 2 2019,"Main Campus, Kensington",0,1,"Objectives: Further development of the clinical skills needed to competently examine patients in optometric practice, and recommend appropriate treatment and strategies for patients presenting for eyecare.
Brief Curriculum: This course  comprises supervised clinical placements o in the following advanced areas of Optometry practice: contact lenses and  advanced contact lenses.
Students may be required to attend compulsory clinical placements during the mid-year recess.",Prerequisite:  OPTM6411 and OPTM6422,6 Units of Credit
OPTM8522,Term 3 2019,"Main Campus, Kensington",0,1,"Objectives: Further development of the clinical skills needed to competently examine patients in optometric practice, and recommend appropriate treatment and strategies for patients presenting for primary eye care. Brief Curriculum: To enhance clinical experience in providing primary eye care. The emphasis in this course is the diagnosis and management of visual problems.

Students will be required to attend compulsory clinical placements outside the standard teaching period. Students will be required to attend external clinical placements which require additional costs to cover travel and accommodation.

Students must also complete a minimum of 18 days of approved work experience (Stage 5 Preceptorship placement) and submit satisfactory written reports on this placement.",Prerequisite: OPTM6421 and OPTM6422 and OPTM6423 and OPTM6424,6 Units of Credit
OPTM8523,Term 3 2019,"Main Campus, Kensington",0,1,"Objectives: Students will develop the ability to competently undertake safe and autonomous therapeutic management of patients, including the ability to design, implement and monitor appropriate management programmes. The course aims also to equip students with the skills to incorporate ocular therapeutics into their professional practice and to work in an integrated way with other health professionals.
Brief Curriculum: This supervised clinical course is designed to provide guided practical experience in the therapeutic management of ocular disease. The course comprises clinical training in a range of settings, including primary, secondary and tertiary centres.
Students may be required to attend compulsory external clinical placements which require additional costs to cover travel and accommodation.
This clinical placement course appears to have a high number of contact hours. This is due to the nature of the course and are required for the optometry program  to maintain its accreditation by the Optometry Council of Australia and New Zealand (OCANZ).",Prerequisite:  OPTM8513,6 Units of Credit
PAED9401,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
PAED9402,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
PAED9601,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
PAED9602,"Term 1 2019, Term 2 2019, Term 3 2019","Main Campus, Kensington",0,0,N\A,N\A,N\A
PATH2201,Term 3 2019,"Main Campus, Kensington",1,0,"Lectures, online modules, tutorials and practical classes (histopathology and macroscopic pathology sessions) aimed at increasing understanding of important disease processes. Comparisons between normal and abnormal cell, tissue and organ function will be made. Includes processes of cell and tissue degeneration, acute and chronic inflammation, regeneration and repair, infection, atherosclerosis, thrombosis, embolism and infarction. Particular examples include diseases of practical importance such as pneumonia, tuberculosis, pulmonary embolism and myocardial infarction. Aberrations of cell growth introduces neoplasia with examples of common tumours.","Prerequisite: ANAT2241 plus any one of ANAT2111, ANAT1521, PHSL2101, BIOC2101, BIOC2181.",6 Units of Credit
PATH2202,Term 3 2019,"Main Campus, Kensington",1,0,"Lectures, online modules, tutorials and practical classes (macroscopic pathology sessions) aimed at increasing understanding of important disease processes. Comparisons between normal and abnormal cell, tissue and organ function will be made. Includes processes of cell and tissue degeneration, acute and chronic inflammation, regeneration and repair, infection, atherosclerosis, thrombosis, embolism and infarction. Particular examples include diseases of practical importance such as pneumonia, rheumatoid arthritis, pulmonary embolism and myocardial infarction. Aberrations of cell growth introduces neoplasia with examples of common tumours.
For more detailed information, please see  the Course Outline below.",Prerequisite: ANAT2111 or ANAT1551 and BIOC2181 and PHSL2501,6 Units of Credit
PATH3205,Term 1 2019,"Main Campus, Kensington",1,0,"Recent advances in understanding molecular mechanisms of acute and chronic inflammation, infection, allergy and autoimmune diseases. Detailed discussion of mediators of these processes, including cytokines and growth factors. Systemic pathology of various organs and tissues, including the cardiovascular (e.g. coronary artery disease) and respiratory systems (e.g. asthma), with an emphasis on molecular pathogenesis. Laboratory classes introduce 'state-of-the-art' research and diagnostic techniques.
Note: Students are advised that previous and concurrent study of Anatomy, Physiology, Biochemistry or Immunology would be an advantage.
For more detailed information, please click on ""Course Outline"" in box below.",Prerequisite: PATH2201 or PATH2202,6 Units of Credit
